"date","dayno","seasnum","ht","at","hsc","asc"
20040814,5068,12,"astonvilla","southampton",2,0
20040814,5068,12,"blackburn","westbromwich",1,1
20040814,5068,12,"bolton","charlton",4,1
20040814,5068,12,"manchesterc","fulham",1,1
20040814,5068,12,"middlesbrough","newcastle",2,2
20040814,5068,12,"norwich","crystalpalace",1,1
20040814,5068,12,"portsmouth","birmingham",1,1
20040814,5068,12,"tottenham","liverpool",1,1
20040815,5069,12,"chelsea","manchesteru",1,0
20040815,5069,12,"everton","arsenal",1,4
20040821,5075,12,"birmingham","chelsea",0,1
20040821,5075,12,"charlton","portsmouth",2,1
20040821,5075,12,"crystalpalace","everton",1,3
20040821,5075,12,"fulham","bolton",2,0
20040821,5075,12,"liverpool","manchesterc",2,1
20040821,5075,12,"manchesteru","norwich",2,1
20040821,5075,12,"newcastle","tottenham",0,1
20040821,5075,12,"southampton","blackburn",3,2
20040822,5076,12,"arsenal","middlesbrough",5,3
20040822,5076,12,"westbromwich","astonvilla",1,1
20040824,5078,12,"birmingham","manchesterc",1,0
20040824,5078,12,"crystalpalace","chelsea",0,2
20040825,5079,12,"arsenal","blackburn",3,0
20040825,5079,12,"charlton","astonvilla",3,0
20040825,5079,12,"fulham","middlesbrough",0,2
20040825,5079,12,"newcastle","norwich",2,2
20040825,5079,12,"southampton","bolton",1,2
20040825,5079,12,"westbromwich","tottenham",1,1
20040828,5082,12,"astonvilla","newcastle",4,2
20040828,5082,12,"blackburn","manchesteru",1,1
20040828,5082,12,"chelsea","southampton",2,1
20040828,5082,12,"everton","westbromwich",2,1
20040828,5082,12,"manchesterc","charlton",4,0
20040828,5082,12,"middlesbrough","crystalpalace",2,1
20040828,5082,12,"norwich","arsenal",1,4
20040828,5082,12,"tottenham","birmingham",1,0
20040829,5083,12,"bolton","liverpool",1,0
20040830,5084,12,"manchesteru","everton",0,0
20040830,5084,12,"portsmouth","fulham",4,3
20040911,5096,12,"astonvilla","chelsea",0,0
20040911,5096,12,"bolton","manchesteru",2,2
20040911,5096,12,"fulham","arsenal",0,3
20040911,5096,12,"liverpool","westbromwich",3,0
20040911,5096,12,"manchesterc","everton",0,1
20040911,5096,12,"middlesbrough","birmingham",2,1
20040911,5096,12,"newcastle","blackburn",3,0
20040911,5096,12,"portsmouth","crystalpalace",3,1
20040912,5097,12,"tottenham","norwich",0,0
20040913,5098,12,"charlton","southampton",0,0
20040918,5103,12,"arsenal","bolton",2,2
20040918,5103,12,"birmingham","charlton",1,1
20040918,5103,12,"blackburn","portsmouth",1,0
20040918,5103,12,"crystalpalace","manchesterc",1,2
20040918,5103,12,"norwich","astonvilla",0,0
20040918,5103,12,"westbromwich","fulham",1,1
20040919,5104,12,"chelsea","tottenham",0,0
20040919,5104,12,"everton","middlesbrough",1,0
20040919,5104,12,"southampton","newcastle",1,2
20040920,5105,12,"manchesteru","liverpool",2,1
20040925,5110,12,"astonvilla","crystalpalace",1,1
20040925,5110,12,"bolton","birmingham",1,1
20040925,5110,12,"fulham","southampton",1,0
20040925,5110,12,"liverpool","norwich",3,0
20040925,5110,12,"manchesterc","arsenal",0,1
20040925,5110,12,"middlesbrough","chelsea",0,1
20040925,5110,12,"newcastle","westbromwich",3,1
20040925,5110,12,"tottenham","manchesteru",0,1
20040926,5111,12,"portsmouth","everton",0,1
20040927,5112,12,"charlton","blackburn",1,0
20041002,5117,12,"arsenal","charlton",4,0
20041002,5117,12,"blackburn","astonvilla",2,2
20041002,5117,12,"everton","tottenham",0,1
20041002,5117,12,"norwich","portsmouth",2,2
20041002,5117,12,"southampton","manchesterc",0,0
20041002,5117,12,"westbromwich","bolton",2,1
20041003,5118,12,"birmingham","newcastle",2,2
20041003,5118,12,"chelsea","liverpool",1,0
20041003,5118,12,"manchesteru","middlesbrough",1,1
20041004,5119,12,"crystalpalace","fulham",2,0
20041016,5131,12,"arsenal","astonvilla",3,1
20041016,5131,12,"birmingham","manchesteru",0,0
20041016,5131,12,"blackburn","middlesbrough",0,4
20041016,5131,12,"bolton","crystalpalace",1,0
20041016,5131,12,"everton","southampton",1,0
20041016,5131,12,"fulham","liverpool",2,4
20041016,5131,12,"manchesterc","chelsea",1,0
20041016,5131,12,"westbromwich","norwich",0,0
20041017,5132,12,"charlton","newcastle",1,1
20041018,5133,12,"portsmouth","tottenham",1,0
20041023,5138,12,"astonvilla","fulham",2,0
20041023,5138,12,"chelsea","blackburn",4,0
20041023,5138,12,"crystalpalace","westbromwich",3,0
20041023,5138,12,"liverpool","charlton",2,0
20041023,5138,12,"norwich","everton",2,3
20041023,5138,12,"tottenham","bolton",1,2
20041024,5139,12,"manchesteru","arsenal",2,0
20041024,5139,12,"middlesbrough","portsmouth",1,1
20041024,5139,12,"newcastle","manchesterc",4,3
20041024,5139,12,"southampton","birmingham",0,0
20041030,5145,12,"arsenal","southampton",2,2
20041030,5145,12,"birmingham","crystalpalace",0,1
20041030,5145,12,"blackburn","liverpool",2,2
20041030,5145,12,"charlton","middlesbrough",1,2
20041030,5145,12,"everton","astonvilla",1,1
20041030,5145,12,"fulham","tottenham",2,0
20041030,5145,12,"portsmouth","manchesteru",2,0
20041030,5145,12,"westbromwich","chelsea",1,4
20041031,5146,12,"bolton","newcastle",2,1
20041101,5147,12,"manchesterc","norwich",1,1
20041106,5152,12,"astonvilla","portsmouth",3,0
20041106,5152,12,"chelsea","everton",1,0
20041106,5152,12,"crystalpalace","arsenal",1,1
20041106,5152,12,"liverpool","birmingham",0,1
20041106,5152,12,"norwich","blackburn",1,1
20041106,5152,12,"southampton","westbromwich",2,2
20041106,5152,12,"tottenham","charlton",2,3
20041107,5153,12,"manchesteru","manchesterc",0,0
20041107,5153,12,"middlesbrough","bolton",1,1
20041107,5153,12,"newcastle","fulham",1,4
20041113,5159,12,"birmingham","everton",0,1
20041113,5159,12,"bolton","astonvilla",1,2
20041113,5159,12,"charlton","norwich",4,0
20041113,5159,12,"fulham","chelsea",1,4
20041113,5159,12,"liverpool","crystalpalace",3,2
20041113,5159,12,"manchesterc","blackburn",1,1
20041113,5159,12,"southampton","portsmouth",2,1
20041113,5159,12,"tottenham","arsenal",4,5
20041114,5160,12,"newcastle","manchesteru",1,3
20041114,5160,12,"westbromwich","middlesbrough",1,2
20041120,5166,12,"arsenal","westbromwich",1,1
20041120,5166,12,"chelsea","bolton",2,2
20041120,5166,12,"crystalpalace","newcastle",0,2
20041120,5166,12,"everton","fulham",1,0
20041120,5166,12,"manchesteru","charlton",2,0
20041120,5166,12,"middlesbrough","liverpool",2,0
20041120,5166,12,"norwich","southampton",2,1
20041120,5166,12,"portsmouth","manchesterc",1,3
20041121,5167,12,"blackburn","birmingham",3,3
20041122,5168,12,"astonvilla","tottenham",1,0
20041127,5173,12,"birmingham","norwich",1,1
20041127,5173,12,"bolton","portsmouth",0,1
20041127,5173,12,"charlton","chelsea",0,4
20041127,5173,12,"fulham","blackburn",0,2
20041127,5173,12,"manchesterc","astonvilla",2,0
20041127,5173,12,"southampton","crystalpalace",2,2
20041127,5173,12,"westbromwich","manchesteru",0,3
20041128,5174,12,"liverpool","arsenal",2,1
20041128,5174,12,"newcastle","everton",1,1
20041128,5174,12,"tottenham","middlesbrough",2,0
20041204,5180,12,"arsenal","birmingham",3,0
20041204,5180,12,"astonvilla","liverpool",1,1
20041204,5180,12,"blackburn","tottenham",0,1
20041204,5180,12,"chelsea","newcastle",4,0
20041204,5180,12,"everton","bolton",3,2
20041204,5180,12,"manchesteru","southampton",3,0
20041204,5180,12,"norwich","fulham",0,1
20041204,5180,12,"portsmouth","westbromwich",3,2
20041205,5181,12,"crystalpalace","charlton",0,1
20041206,5182,12,"middlesbrough","manchesterc",3,2
20041211,5187,12,"crystalpalace","blackburn",0,0
20041211,5187,12,"everton","liverpool",1,0
20041211,5187,12,"manchesterc","tottenham",0,1
20041211,5187,12,"newcastle","portsmouth",1,1
20041211,5187,12,"norwich","bolton",3,2
20041211,5187,12,"southampton","middlesbrough",2,2
20041211,5187,12,"westbromwich","charlton",0,1
20041212,5188,12,"arsenal","chelsea",2,2
20041212,5188,12,"astonvilla","birmingham",1,2
20041213,5189,12,"fulham","manchesteru",1,1
20041214,5190,12,"liverpool","portsmouth",1,1
20041218,5194,12,"birmingham","westbromwich",4,0
20041218,5194,12,"blackburn","everton",0,0
20041218,5194,12,"bolton","manchesterc",0,1
20041218,5194,12,"chelsea","norwich",4,0
20041218,5194,12,"manchesteru","crystalpalace",5,2
20041218,5194,12,"middlesbrough","astonvilla",3,0
20041218,5194,12,"tottenham","southampton",5,1
20041219,5195,12,"liverpool","newcastle",3,1
20041219,5195,12,"portsmouth","arsenal",0,1
20041220,5196,12,"charlton","fulham",2,1
20041226,5202,12,"arsenal","fulham",2,0
